frame,marker,raw,gap_start,gap_end,gap_len,left_frame,right_frame,pred_dist,support,mean_error,margin,risk,method
2305,RBHD,*56,2303,2593,291,2302,2594,6.076604687516082,2,1.4184539902016269,999.0,high,bold_grey_connect
2306,RBHD,*56,2303,2593,291,2302,2594,8.092225951267489,2,1.4667723059011308,999.0,high,bold_grey_connect
2308,RBHD,*56,2303,2593,291,2302,2594,12.200993266469343,2,1.6653184090170186,999.0,high,bold_grey_connect
2309,RBHD,*56,2303,2593,291,2302,2594,14.282420914080294,2,1.7829029039539819,999.0,high,bold_grey_connect
2310,RBHD,*56,2303,2593,291,2302,2594,16.12660801326725,2,1.640382757072885,999.0,high,bold_grey_connect
2312,RBHD,*59,2303,2593,291,2302,2594,20.570565851231525,2,2.0525495719190587,999.0,high,bold_grey_connect
2314,RBHD,*59,2303,2593,291,2302,2594,24.818897553636525,2,2.21431748588617,999.0,high,bold_grey_connect
2317,RBHD,*59,2303,2593,291,2302,2594,31.310272242379792,2,2.353051951293722,999.0,high,bold_grey_connect
2304,LBHD,*53,2303,2661,359,2302,2662,3.521779452145502,3,2.440437207758445,999.0,high,bold_grey_connect
2305,LBHD,*53,2303,2661,359,2302,2662,5.146103293091316,3,3.135136817542488,999.0,high,bold_grey_connect
2308,LBHD,*53,2303,2661,359,2302,2662,10.398713678315971,3,2.94527933991237,999.0,high,bold_grey_connect
2309,LBHD,*53,2303,2661,359,2302,2662,12.083150481086145,3,2.92989177737509,999.0,high,bold_grey_connect
2310,LBHD,*53,2303,2661,359,2302,2662,21.314951696589485,3,2.022910831605183,999.0,high,bold_grey_connect
2311,LBHD,*53,2303,2661,359,2302,2662,15.565329548761058,3,2.3496230522524635,999.0,high,bold_grey_connect
2312,LBHD,*53,2303,2661,359,2302,2662,17.318291518143408,3,2.765973877601553,59.29873500564251,high,bold_grey_connect
2313,LBHD,*56,2303,2661,359,2302,2662,59.22712614943386,3,17.513475556426133,999.0,high,bold_grey_connect
2314,LBHD,*53,2303,2661,359,2302,2662,20.706993157272926,3,2.7487010358085846,57.78067996947438,high,bold_grey_connect
2315,LBHD,*53,2303,2661,359,2302,2662,22.469751958999968,3,3.535762900172543,999.0,high,bold_grey_connect
2316,LBHD,*53,2303,2661,359,2302,2662,31.89573414066005,3,6.064106100282487,40.36330532977773,high,bold_grey_connect
2317,LBHD,*53,2303,2661,359,2302,2662,26.01463284761333,3,2.529154675987764,48.51657438739481,high,bold_grey_connect
2318,LBHD,*56,2303,2661,359,2302,2662,56.296513510720985,3,16.514972599345977,999.0,high,bold_grey_connect
2319,LBHD,*53,2303,2661,359,2302,2662,29.48989666377725,3,4.57449647964486,999.0,high,bold_grey_connect
2321,LBHD,*53,2303,2661,359,2302,2662,56.99882210433177,3,16.696047536322435,999.0,high,bold_grey_connect
2322,LBHD,*56,2303,2661,359,2302,2662,34.86260986021378,3,5.266765890067532,40.05050182575056,high,bold_grey_connect
2323,LBHD,*56,2303,2661,359,2302,2662,36.584923686458765,3,5.388385996153744,34.92205470747477,high,bold_grey_connect
2326,LBHD,*56,2303,2661,359,2302,2662,42.09366038056002,3,6.042777685142373,30.963637048020374,high,bold_grey_connect
2327,LBHD,*56,2303,2661,359,2302,2662,43.972260915984926,3,6.203080141273939,29.581557800675355,high,bold_grey_connect
2328,LBHD,*56,2303,2661,359,2302,2662,45.77702722732854,3,6.3412863028147655,28.615079367738872,high,bold_grey_connect
2329,LBHD,*53,2303,2661,359,2302,2662,62.55789240371326,3,16.753033134713323,999.0,high,bold_grey_connect
2330,LBHD,*56,2303,2661,359,2302,2662,49.33982782933341,3,6.350953667385032,26.749464581980583,high,bold_grey_connect
2331,LBHD,*56,2303,2661,359,2302,2662,51.357207662296766,3,6.887889228667201,28.359693005119468,high,bold_grey_connect
2332,LBHD,*53,2303,2661,359,2302,2662,65.9998026067984,3,16.607831213510725,999.0,high,bold_grey_connect
2333,LBHD,*56,2303,2661,359,2302,2662,54.89668398741975,3,7.0395062039328975,26.561258412334823,high,bold_grey_connect
2334,LBHD,*56,2303,2661,359,2302,2662,56.744123820219144,3,6.852704064384501,999.0,high,bold_grey_connect
2335,LBHD,*56,2303,2661,359,2302,2662,58.63725772414408,3,6.886918452596835,999.0,high,bold_grey_connect
2336,LBHD,*56,2303,2661,359,2302,2662,60.48464667249841,3,7.173711404459847,23.81260448078912,high,bold_grey_connect
2337,LBHD,*53,2303,2661,359,2302,2662,71.85791777105928,3,15.847704433568046,999.0,high,bold_grey_connect
2338,LBHD,*53,2303,2661,359,2302,2662,75.4772197382725,3,16.24679346756668,999.0,high,bold_grey_connect
2339,LBHD,*58,2303,2661,359,2302,2662,65.8372530230635,3,6.938538680799117,999.0,high,bold_grey_connect
2340,LBHD,*58,2303,2661,359,2302,2662,67.77066836905311,3,6.723904266834485,999.0,high,bold_grey_connect
2341,LBHD,*58,2303,2661,359,2302,2662,69.46488310310484,3,6.790140978090283,17.355071327570272,high,bold_grey_connect
2342,LBHD,*58,2303,2661,359,2302,2662,71.25905973535178,3,6.8118593906965215,19.878070721520785,high,bold_grey_connect
2343,LBHD,*58,2303,2661,359,2302,2662,73.02822606915583,3,6.8558186134770125,999.0,high,bold_grey_connect
2344,LBHD,*58,2303,2661,359,2302,2662,74.98044004887286,3,6.830514818087214,999.0,high,bold_grey_connect
2345,LBHD,*58,2303,2661,359,2302,2662,76.76444516131025,3,6.815577791552703,14.756103199487995,high,bold_grey_connect
2346,LBHD,*53,2303,2661,359,2302,2662,83.86510437549562,3,14.244950784999537,999.0,high,bold_grey_connect
2347,LBHD,*53,2303,2661,359,2302,2662,83.90574481554904,3,13.761800772052714,999.0,high,bold_grey_connect
2348,LBHD,*53,2303,2661,359,2302,2662,85.33595162053895,3,13.657372004558814,999.0,high,bold_grey_connect
2349,LBHD,*58,2303,2661,359,2302,2662,84.21329818547783,3,6.542795924936191,12.557636368455846,high,bold_grey_connect
2350,LBHD,*58,2303,2661,359,2302,2662,86.16579172409098,3,6.574567442591321,14.419728231724676,high,bold_grey_connect
2351,LBHD,*53,2303,2661,359,2302,2662,91.32108130254673,3,13.587714944306597,999.0,high,bold_grey_connect
2353,LBHD,*58,2303,2661,359,2302,2662,91.78187660668087,3,6.500876653145705,999.0,high,bold_grey_connect
2651,LBHD,*62,2303,2661,359,2302,2662,72.95186134226812,3,3.2803533887647753,999.0,high,bold_grey_connect
2653,LBHD,*62,2303,2661,359,2302,2662,58.4119622822853,3,3.0388101644104686,999.0,high,bold_grey_connect
2654,LBHD,*62,2303,2661,359,2302,2662,51.43274818565245,3,2.993895010651594,999.0,high,bold_grey_connect
2657,LBHD,*62,2303,2661,359,2302,2662,31.70221972559214,3,3.050564768678877,999.0,high,bold_grey_connect
2658,LBHD,*62,2303,2661,359,2302,2662,25.07016029920177,3,3.1628856992906598,999.0,high,bold_grey_connect
2312,C7,*56,2309,2596,288,2308,2597,5.177920862867913,3,6.940331040157503,999.0,high,bold_grey_connect
2314,C7,*56,2309,2596,288,2308,2597,9.890957528019317,3,7.459856497829766,999.0,high,bold_grey_connect
2316,C7,*56,2309,2596,288,2308,2597,12.843755148692775,3,7.726663231597087,999.0,high,bold_grey_connect
2317,C7,*56,2309,2596,288,2308,2597,12.340819296205103,3,7.40082091801447,999.0,high,bold_grey_connect
2322,C7,*53,2309,2596,288,2308,2597,22.4337617110461,3,8.354288030296042,999.0,high,bold_grey_connect
2323,C7,*53,2309,2596,288,2308,2597,22.175048629937024,3,8.092257608203331,999.0,high,bold_grey_connect
2326,C7,*53,2309,2596,288,2308,2597,27.553153487518223,3,8.622059917663051,999.0,high,bold_grey_connect
2327,C7,*53,2309,2596,288,2308,2597,29.288560330852725,3,8.73594030268913,999.0,high,bold_grey_connect
2328,C7,*53,2309,2596,288,2308,2597,31.20706643477892,3,8.896111125292558,999.0,high,bold_grey_connect
2330,C7,*53,2309,2596,288,2308,2597,34.84467951751203,3,9.118890252756444,999.0,high,bold_grey_connect
2331,C7,*53,2309,2596,288,2308,2597,38.562829962664225,3,9.371010724301593,999.0,high,bold_grey_connect
2333,C7,*53,2309,2596,288,2308,2597,42.29879222134766,3,9.3525053315093,999.0,high,bold_grey_connect
2336,C7,*53,2309,2596,288,2308,2597,47.87224019673896,3,9.739738761802423,999.0,high,bold_grey_connect
2340,C7,*53,2309,2596,288,2308,2597,94.71177498934404,3,14.529353295174436,999.0,high,bold_grey_connect
2341,C7,*56,2309,2596,288,2308,2597,54.9361438363661,3,9.581943694752104,999.0,high,bold_grey_connect
2342,C7,*56,2309,2596,288,2308,2597,58.6197359768481,3,10.020685679935772,999.0,high,bold_grey_connect
2345,C7,*53,2309,2596,288,2308,2597,61.82408380380619,3,9.938314099235242,999.0,high,bold_grey_connect
2349,C7,*53,2309,2596,288,2308,2597,68.55501530057474,3,9.763636026190056,999.0,high,bold_grey_connect
2350,C7,*53,2309,2596,288,2308,2597,72.08438928727045,3,10.104215628031247,999.0,high,bold_grey_connect
2354,C7,*59,2309,2596,288,2308,2597,78.39342058462002,3,10.099406203690316,999.0,high,bold_grey_connect
2357,C7,*59,2309,2596,288,2308,2597,81.33602378090724,3,9.88639976399879,999.0,high,bold_grey_connect
2358,C7,*59,2309,2596,288,2308,2597,84.35105689679419,3,10.017079775981708,999.0,high,bold_grey_connect
2360,C7,*58,2309,2596,288,2308,2597,87.20658412534756,3,9.742902989076205,999.0,high,bold_grey_connect
2362,C7,*58,2309,2596,288,2308,2597,90.33020798952172,3,9.937932819537528,999.0,high,bold_grey_connect
2569,C7,*63,2309,2596,288,2308,2597,86.88418180590013,3,10.963951854979294,999.0,high,bold_grey_connect
2570,C7,*63,2309,2596,288,2308,2597,84.29113786448606,3,11.493924123973736,999.0,high,bold_grey_connect
2571,C7,*63,2309,2596,288,2308,2597,83.11242355676282,3,10.614907194503198,999.0,high,bold_grey_connect
2572,C7,*63,2309,2596,288,2308,2597,82.59050019090078,3,8.70149977097005,999.0,high,bold_grey_connect
2574,C7,*62,2309,2596,288,2308,2597,80.46059730047116,3,6.314086126206888,999.0,high,bold_grey_connect
2546,T10,*62,2545,2568,24,2544,2569,5.746238355990664,3,9.991675649891922,999.0,medium,bold_grey_connect
2547,T10,*62,2545,2568,24,2544,2569,8.349120102113854,3,12.283526867709034,999.0,medium,bold_grey_connect
2548,T10,*62,2545,2568,24,2544,2569,10.603315971156842,3,13.706309027418124,999.0,medium,bold_grey_connect
2549,T10,*62,2545,2568,24,2544,2569,13.153504743872965,3,16.170795945472417,999.0,medium,bold_grey_connect
2550,T10,*62,2545,2568,24,2544,2569,13.955102296230159,3,18.019723210337464,999.0,medium,bold_grey_connect
2305,LELA,*54,2303,2841,539,2302,2842,4.087463343900796,3,0.914668336759514,999.0,high,bold_grey_connect
2306,LELA,*54,2303,2841,539,2302,2842,5.532632355393831,3,0.9163113199391167,999.0,high,bold_grey_connect
2307,LELA,*54,2303,2841,539,2302,2842,6.995289211438694,3,0.9003544261988262,999.0,high,bold_grey_connect
2308,LELA,*54,2303,2841,539,2302,2842,8.331017359870739,3,0.9065548513405162,999.0,high,bold_grey_connect
2309,LELA,*54,2303,2841,539,2302,2842,9.641463883075524,3,0.7700049040001223,999.0,high,bold_grey_connect
2310,LELA,*54,2303,2841,539,2302,2842,11.029930359445746,3,0.6824596816823316,999.0,high,bold_grey_connect
2311,LELA,*54,2303,2841,539,2302,2842,12.459669462398136,3,0.6307602879581964,999.0,high,bold_grey_connect
2312,LELA,*54,2303,2841,539,2302,2842,13.931417442687732,3,0.6293407886564069,999.0,high,bold_grey_connect
2313,LELA,*54,2303,2841,539,2302,2842,15.419982521245345,3,0.6189850372102986,999.0,high,bold_grey_connect
2314,LELA,*54,2303,2841,539,2302,2842,16.94502969121594,3,0.6115754738498017,999.0,high,bold_grey_connect
2315,LELA,*54,2303,2841,539,2302,2842,18.464410018909074,3,0.6160006892516824,999.0,high,bold_grey_connect
2316,LELA,*54,2303,2841,539,2302,2842,19.995358073441277,3,0.6069911600335018,999.0,high,bold_grey_connect
2317,LELA,*54,2303,2841,539,2302,2842,21.53171795445153,3,0.6035653283677126,999.0,high,bold_grey_connect
2318,LELA,*54,2303,2841,539,2302,2842,23.056825272855146,3,0.5933109649749326,999.0,high,bold_grey_connect
2319,LELA,*54,2303,2841,539,2302,2842,24.601218735470173,3,0.5607931676665933,999.0,high,bold_grey_connect
2320,LELA,*54,2303,2841,539,2302,2842,26.101736532456574,3,0.6038988378640274,999.0,high,bold_grey_connect
2321,LELA,*54,2303,2841,539,2302,2842,27.60290503423752,3,0.7082616377665308,999.0,high,bold_grey_connect
2322,LELA,*54,2303,2841,539,2302,2842,29.108916957977506,3,0.8009055387698775,999.0,high,bold_grey_connect
2323,LELA,*54,2303,2841,539,2302,2842,30.614534530670173,3,0.90751322862873,999.0,high,bold_grey_connect
2324,LELA,*54,2303,2841,539,2302,2842,32.116485971630865,3,0.9776122459060446,999.0,high,bold_grey_connect
2325,LELA,*54,2303,2841,539,2302,2842,33.64441085669612,3,1.175862131912325,999.0,high,bold_grey_connect
2326,LELA,*54,2303,2841,539,2302,2842,35.16538503626126,3,1.2418833281829318,999.0,high,bold_grey_connect
2327,LELA,*54,2303,2841,539,2302,2842,36.712203087758134,3,1.3037017433003133,999.0,high,bold_grey_connect
2328,LELA,*54,2303,2841,539,2302,2842,38.25601270684483,3,1.358272050287809,999.0,high,bold_grey_connect
2329,LELA,*54,2303,2841,539,2302,2842,39.81374512122269,3,1.421681697962531,999.0,high,bold_grey_connect
2330,LELA,*54,2303,2841,539,2302,2842,41.39518899078521,3,1.4771936539405222,999.0,high,bold_grey_connect
2331,LELA,*54,2303,2841,539,2302,2842,43.00667422696503,3,1.5273231685210646,999.0,high,bold_grey_connect
2332,LELA,*54,2303,2841,539,2302,2842,44.5907302014065,3,1.5935594796689116,999.0,high,bold_grey_connect
2333,LELA,*54,2303,2841,539,2302,2842,46.225055395061666,3,1.6382403194044077,999.0,high,bold_grey_connect
2334,LELA,*54,2303,2841,539,2302,2842,47.815161748597056,3,1.693450473859836,999.0,high,bold_grey_connect
2335,LELA,*54,2303,2841,539,2302,2842,49.52829187561178,3,1.745444948008161,999.0,high,bold_grey_connect
2336,LELA,*54,2303,2841,539,2302,2842,51.202346286962424,3,1.7932881669165965,999.0,high,bold_grey_connect
2337,LELA,*54,2303,2841,539,2302,2842,52.92899865024412,3,1.857698517732942,999.0,high,bold_grey_connect
2338,LELA,*54,2303,2841,539,2302,2842,54.71047788934825,3,1.9075281341527652,999.0,high,bold_grey_connect
2339,LELA,*54,2303,2841,539,2302,2842,56.53099322088751,3,1.9605257191604484,999.0,high,bold_grey_connect
2340,LELA,*54,2303,2841,539,2302,2842,58.44451436171429,3,1.971003218975677,999.0,high,bold_grey_connect
2341,LELA,*54,2303,2841,539,2302,2842,60.77394906374308,3,1.87568247890412,999.0,high,bold_grey_connect
2342,LELA,*54,2303,2841,539,2302,2842,62.84133918764374,3,1.942672286472207,999.0,high,bold_grey_connect
2343,LELA,*54,2303,2841,539,2302,2842,64.97198116223304,3,2.0015541439833933,999.0,high,bold_grey_connect
2344,LELA,*54,2303,2841,539,2302,2842,67.1747548516067,3,2.0808351883664593,999.0,high,bold_grey_connect
2347,LELA,*54,2303,2841,539,2302,2842,74.35185804486616,3,2.2963054674655865,999.0,high,bold_grey_connect
2348,LELA,*54,2303,2841,539,2302,2842,76.73742682970985,3,2.412087272351973,999.0,high,bold_grey_connect
2350,LELA,*52,2303,2841,539,2302,2842,81.9378958620853,3,2.6038062972927114,999.0,high,bold_grey_connect
2351,LELA,*52,2303,2841,539,2302,2842,84.61683488966618,3,2.702755403597839,999.0,high,bold_grey_connect
2353,LELA,*53,2303,2841,539,2302,2842,90.1647308182674,3,2.9430372814553514,999.0,high,bold_grey_connect
2354,LELA,*53,2303,2841,539,2302,2842,92.97726711244235,3,2.9897314840537965,999.0,high,bold_grey_connect
2797,LELA,*57,2303,2841,539,2302,2842,91.18499775535936,3,0.8916168609445853,999.0,high,bold_grey_connect
2800,LELA,*60,2303,2841,539,2302,2842,84.41739611493135,3,0.8639470521865652,999.0,high,bold_grey_connect
2805,LELA,*58,2303,2841,539,2302,2842,73.07191182433434,3,0.7655693400625173,999.0,high,bold_grey_connect
2806,LELA,*58,2303,2841,539,2302,2842,70.94539027848533,3,0.7308510042234057,999.0,high,bold_grey_connect
2807,LELA,*58,2303,2841,539,2302,2842,68.69825380608673,3,0.7331404001407359,999.0,high,bold_grey_connect
2808,LELA,*58,2303,2841,539,2302,2842,66.55765168983551,3,0.7563508117150377,999.0,high,bold_grey_connect
2814,LELA,*60,2303,2841,539,2302,2842,52.96888830000768,3,0.9177657742257423,999.0,high,bold_grey_connect
2818,LELA,*59,2303,2841,539,2302,2842,44.16252125691807,3,1.0662098707912548,999.0,high,bold_grey_connect
2823,LELA,*59,2303,2841,539,2302,2842,33.67975175850153,3,1.2335654785776977,999.0,high,bold_grey_connect
2828,LELA,*54,2303,2841,539,2302,2842,23.99206470609842,3,1.3092091217660453,999.0,high,bold_grey_connect
2830,LELA,*54,2303,2841,539,2302,2842,20.343831589692556,3,1.3072963238670923,999.0,high,bold_grey_connect
2831,LELA,*54,2303,2841,539,2302,2842,18.55030793775101,3,1.3044270213583313,999.0,high,bold_grey_connect
2495,LFIN,*56,2495,2736,242,2494,2737,21.36781272787124,3,33.37613362281613,999.0,high,bold_grey_connect
2496,LFIN,*56,2495,2736,242,2494,2737,45.12541555385483,3,31.446669137710312,999.0,high,bold_grey_connect
2497,LFIN,*56,2495,2736,242,2494,2737,68.51180849764103,3,31.296266801233628,999.0,high,bold_grey_connect
2498,LFIN,*56,2495,2736,242,2494,2737,91.24024552363282,3,32.81625460305847,999.0,high,bold_grey_connect
2729,LFIN,*57,2495,2736,242,2494,2737,77.10018963379194,3,1.6570978967694714,999.0,high,bold_grey_connect
2731,LFIN,*54,2495,2736,242,2494,2737,56.192877009682725,3,1.3298242886422333,999.0,high,bold_grey_connect
2733,LFIN,*54,2495,2736,242,2494,2737,37.438365155364714,3,0.7276054170584748,999.0,high,bold_grey_connect
2616,RSHO,*65,2568,2809,242,2567,2810,53.416465698786425,2,19.440817398623338,999.0,high,bold_grey_connect
2617,RSHO,*65,2568,2809,242,2567,2810,52.78076898486961,2,18.776292993005924,999.0,high,bold_grey_connect
2618,RSHO,*65,2568,2809,242,2567,2810,53.38249197054064,2,18.219295225881112,999.0,high,bold_grey_connect
2795,RSHO,*65,2568,2809,242,2567,2810,52.913074206893754,2,1.464709157520815,999.0,high,bold_grey_connect
2796,RSHO,*65,2568,2809,242,2567,2810,49.07566860482927,2,1.4457695497515317,999.0,high,bold_grey_connect
2797,RSHO,*65,2568,2809,242,2567,2810,46.39286219040072,2,1.5143631581156995,999.0,high,bold_grey_connect
2798,RSHO,*65,2568,2809,242,2567,2810,42.405375757828615,2,1.5248423468097911,999.0,high,bold_grey_connect
2799,RSHO,*65,2568,2809,242,2567,2810,39.402115719186696,2,1.3216418501754106,999.0,high,bold_grey_connect
2800,RSHO,*65,2568,2809,242,2567,2810,36.3132967699273,2,1.7592653417320605,999.0,high,bold_grey_connect
2801,RSHO,*65,2568,2809,242,2567,2810,31.815621737836096,2,1.8358631338098377,999.0,high,bold_grey_connect
2802,RSHO,*65,2568,2809,242,2567,2810,29.406463356023476,2,1.8066041851354555,999.0,high,bold_grey_connect
2803,RSHO,*65,2568,2809,242,2567,2810,25.917464749911247,2,1.8287099399222768,999.0,high,bold_grey_connect
2804,RSHO,*65,2568,2809,242,2567,2810,22.035453808693454,2,1.4046955495582267,999.0,high,bold_grey_connect
2805,RSHO,*65,2568,2809,242,2567,2810,20.045371205363914,2,1.956719393592536,999.0,high,bold_grey_connect
2806,RSHO,*65,2568,2809,242,2567,2810,16.947003809143776,2,1.7539038367703483,999.0,high,bold_grey_connect
2807,RSHO,*65,2568,2809,242,2567,2810,13.238455770924377,2,1.764058419405771,999.0,high,bold_grey_connect
2808,RSHO,*65,2568,2809,242,2567,2810,7.694400540945651,2,1.4481906957326487,999.0,high,bold_grey_connect
2377,RELA,*58,2376,2876,501,2375,2877,6.053404242933991,3,6.064290894914156,999.0,high,bold_grey_connect
